game_pk,game_date,home_team,away_team,delta_home_win_exp
41633,2006-08-09,CWS,NYY,2.48
41655,2006-08-10,TEX,SEA,2.438
41678,2006-08-12,HOU,SD,2.372
41712,2006-08-14,WSH,ATL,2.372
41690,2006-08-13,CWS,DET,2.348
41697,2006-08-13,OAK,TB,2.336
41644,2006-08-09,TOR,BAL,2.296
41693,2006-08-13,HOU,SD,2.288
41717,2006-08-15,LAD,MIA,2.226
41700,2006-08-13,TEX,SEA,2.168
41673,2006-08-12,ATL,MIL,2.158
41680,2006-08-12,MIN,TOR,2.148
41641,2006-08-09,NYM,SD,2.144
41710,2006-08-14,PIT,MIL,2.084
41666,2006-08-11,NYY,LAA,2.06
41685,2006-08-12,TEX,SEA,2.058
41647,2006-08-10,CIN,STL,2.056
41657,2006-08-11,AZ,MIA,2.01
41652,2006-08-10,MIL,CHC,1.988
41669,2006-08-11,PIT,STL,1.952
41702,2006-08-14,BOS,DET,1.906
41653,2006-08-10,MIN,TOR,1.8279999999999998
41699,2006-08-13,PIT,STL,1.79
41643,2006-08-09,SEA,TB,1.786
41696,2006-08-13,NYY,LAA,1.736
41681,2006-08-12,NYY,LAA,1.728
41662,2006-08-11,COL,CHC,1.714
41718,2006-08-15,MIN,CLE,1.706
41635,2006-08-09,CLE,LAA,1.672
41682,2006-08-12,OAK,TB,1.667
41695,2006-08-13,MIN,TOR,1.648
41677,2006-08-12,COL,CHC,1.534
41642,2006-08-09,OAK,TEX,1.4669999999999999
41648,2006-08-10,CLE,LAA,1.448
41703,2006-08-14,CWS,KC,1.374
41724,2006-08-15,STL,CIN,1.3719999999999999
41720,2006-08-15,OAK,SEA,1.324
41659,2006-08-11,BOS,BAL,1.318
41640,2006-08-09,MIL,CHC,1.31
41660,2006-08-11,CWS,DET,1.283
41721,2006-08-15,PHI,NYM,1.086
41670,2006-08-11,TEX,SEA,1.006
41727,2006-08-15,WSH,ATL,0.998
41665,2006-08-11,MIN,TOR,0.988
41691,2006-08-13,CLE,KC,0.8059999999999999
41637,2006-08-09,HOU,PIT,0.7
41709,2006-08-14,PHI,NYM,0.634
41738,2006-08-16,SD,SF,6.17
